IP地址,数据中心,地区,城市,网络延迟
104.16.154.158,SJC,North America,San Jose,172 ms
104.19.129.240,LAX,North America,Los Angeles,172 ms
104.16.254.202,SJC,North America,San Jose,172 ms
172.67.215.209,AMS,Europe,Amsterdam,172 ms
104.19.90.55,SJC,North America,San Jose,172 ms
104.18.127.55,SJC,North America,San Jose,172 ms
104.19.146.124,SJC,North America,San Jose,173 ms
104.18.228.101,SJC,North America,San Jose,173 ms
104.21.114.33,AMS,Europe,Amsterdam,173 ms
104.17.204.167,SJC,North America,San Jose,173 ms
104.18.53.194,SJC,North America,San Jose,173 ms
104.16.68.163,SJC,North America,San Jose,173 ms
104.16.59.68,SJC,North America,San Jose,173 ms
162.159.36.144,SJC,North America,San Jose,173 ms
104.19.21.70,SJC,North America,San Jose,173 ms
104.17.160.46,SJC,North America,San Jose,173 ms
172.67.251.230,AMS,Europe,Amsterdam,173 ms
104.21.125.95,AMS,Europe,Amsterdam,173 ms
104.16.23.15,SJC,North America,San Jose,173 ms
104.16.24.214,SJC,North America,San Jose,174 ms
104.21.229.30,LAX,North America,Los Angeles,174 ms
104.21.236.79,LAX,North America,Los Angeles,174 ms
104.18.247.211,SJC,North America,San Jose,174 ms
162.159.254.74,LAX,North America,Los Angeles,174 ms
162.159.251.240,LAX,North America,Los Angeles,174 ms
104.18.113.217,LAX,North America,Los Angeles,174 ms
172.67.140.225,AMS,Europe,Amsterdam,174 ms
104.18.17.220,LAX,North America,Los Angeles,174 ms
173.245.59.200,SJC,North America,San Jose,175 ms
173.245.58.64,SJC,North America,San Jose,175 ms
104.16.99.177,SJC,North America,San Jose,175 ms
104.17.78.213,SJC,North America,San Jose,175 ms
172.66.0.122,SJC,North America,San Jose,175 ms
173.245.49.37,SJC,North America,San Jose,175 ms
104.21.192.181,AMS,Europe,Amsterdam,175 ms
104.19.249.91,LAX,North America,Los Angeles,175 ms
104.19.248.41,LAX,North America,Los Angeles,175 ms
104.21.2.158,AMS,Europe,Amsterdam,175 ms
104.21.222.207,AMS,Europe,Amsterdam,175 ms
172.67.138.207,AMS,Europe,Amsterdam,176 ms
104.21.206.4,AMS,Europe,Amsterdam,176 ms
172.67.186.149,AMS,Europe,Amsterdam,176 ms
172.67.176.213,AMS,Europe,Amsterdam,176 ms
104.19.18.146,SJC,North America,San Jose,176 ms
104.21.5.42,AMS,Europe,Amsterdam,176 ms
104.21.226.223,LAX,North America,Los Angeles,176 ms
104.16.201.211,SJC,North America,San Jose,176 ms
162.159.247.93,LAX,North America,Los Angeles,176 ms
104.18.197.38,SJC,North America,San Jose,177 ms
104.18.112.76,LAX,North America,Los Angeles,177 ms
104.17.191.93,SJC,North America,San Jose,177 ms
104.18.36.123,LAX,North America,Los Angeles,177 ms
104.16.11.149,SJC,North America,San Jose,177 ms
104.16.120.100,LAX,North America,Los Angeles,177 ms
104.16.87.144,SJC,North America,San Jose,177 ms
104.17.138.47,SJC,North America,San Jose,177 ms
104.18.51.78,SJC,North America,San Jose,177 ms
104.21.23.109,AMS,Europe,Amsterdam,177 ms
104.21.234.73,LAX,North America,Los Angeles,177 ms
104.16.114.90,LAX,North America,Los Angeles,177 ms
104.18.49.125,SJC,North America,San Jose,178 ms
104.19.143.158,LAX,North America,Los Angeles,178 ms
104.18.54.72,SJC,North America,San Jose,178 ms
104.21.55.213,AMS,Europe,Amsterdam,178 ms
104.18.29.165,LAX,North America,Los Angeles,178 ms
162.159.248.103,LAX,North America,Los Angeles,178 ms
104.19.169.207,SJC,North America,San Jose,179 ms
104.18.124.231,LAX,North America,Los Angeles,179 ms
172.67.255.233,AMS,Europe,Amsterdam,179 ms
172.64.53.153,SJC,North America,San Jose,179 ms
172.67.169.41,AMS,Europe,Amsterdam,179 ms
104.18.89.222,SJC,North America,San Jose,179 ms
172.67.209.134,AMS,Europe,Amsterdam,180 ms
104.19.24.35,SJC,North America,San Jose,180 ms
104.18.121.156,LAX,North America,Los Angeles,180 ms
104.19.247.6,LAX,North America,Los Angeles,180 ms
104.19.141.182,LAX,North America,Los Angeles,180 ms
104.21.239.101,LAX,North America,Los Angeles,180 ms
162.159.243.249,LAX,North America,Los Angeles,180 ms
104.16.127.76,LAX,North America,Los Angeles,180 ms
104.21.19.165,AMS,Europe,Amsterdam,181 ms
104.17.161.153,SJC,North America,San Jose,181 ms
104.19.224.142,SJC,North America,San Jose,181 ms
104.21.211.255,AMS,Europe,Amsterdam,182 ms
162.159.20.3,SJC,North America,San Jose,182 ms
104.19.115.113,SJC,North America,San Jose,182 ms
104.16.112.61,LAX,North America,Los Angeles,182 ms
104.16.138.22,SJC,North America,San Jose,182 ms
104.19.142.128,LAX,North America,Los Angeles,182 ms
104.18.212.136,SJC,North America,San Jose,182 ms
172.64.89.170,SEA,North America,Seattle,182 ms
104.18.230.120,SJC,North America,San Jose,182 ms
104.18.122.250,LAX,North America,Los Angeles,182 ms
104.17.69.172,SJC,North America,San Jose,183 ms
172.67.172.54,AMS,Europe,Amsterdam,183 ms
104.16.118.164,LAX,North America,Los Angeles,183 ms
172.67.195.186,AMS,Europe,Amsterdam,183 ms
162.159.246.149,LAX,North America,Los Angeles,183 ms
162.159.242.193,LAX,North America,Los Angeles,183 ms
104.19.243.173,LAX,North America,Los Angeles,183 ms
104.21.85.235,AMS,Europe,Amsterdam,183 ms
104.19.219.82,SJC,North America,San Jose,183 ms
104.19.130.39,LAX,North America,Los Angeles,184 ms
104.17.155.9,SJC,North America,San Jose,184 ms
104.16.123.155,SLC,North America,Salt Lake City,184 ms
162.159.38.222,LAX,North America,Los Angeles,184 ms
104.21.58.206,AMS,Europe,Amsterdam,184 ms
104.18.125.46,LAX,North America,Los Angeles,185 ms
162.159.39.186,LAX,North America,Los Angeles,185 ms
104.18.21.164,LAX,North America,Los Angeles,185 ms
104.19.225.229,SJC,North America,San Jose,185 ms
104.19.252.243,LAX,North America,Los Angeles,185 ms
104.21.235.3,LAX,North America,Los Angeles,186 ms
104.19.215.60,SJC,North America,San Jose,186 ms
104.18.25.185,LAX,North America,Los Angeles,186 ms
104.21.66.171,AMS,Europe,Amsterdam,186 ms
104.17.121.207,SJC,North America,San Jose,186 ms
104.17.62.162,SJC,North America,San Jose,186 ms
104.21.73.26,AMS,Europe,Amsterdam,187 ms
162.159.252.88,LAX,North America,Los Angeles,187 ms
104.21.48.245,AMS,Europe,Amsterdam,187 ms
162.159.240.235,LAX,North America,Los Angeles,187 ms
104.21.20.199,AMS,Europe,Amsterdam,187 ms
172.67.183.163,AMS,Europe,Amsterdam,188 ms
104.18.126.191,SJC,North America,San Jose,188 ms
172.67.160.101,AMS,Europe,Amsterdam,188 ms
172.67.135.209,AMS,Europe,Amsterdam,188 ms
104.16.210.146,SJC,North America,San Jose,189 ms
172.64.83.155,SEA,North America,Seattle,189 ms
104.19.241.118,LAX,North America,Los Angeles,189 ms
104.21.24.80,AMS,Europe,Amsterdam,189 ms
104.21.34.40,AMS,Europe,Amsterdam,189 ms
104.19.121.12,SJC,North America,San Jose,189 ms
104.18.31.52,LAX,North America,Los Angeles,189 ms
104.18.24.175,SJC,North America,San Jose,189 ms
104.17.167.75,SJC,North America,San Jose,190 ms
104.18.102.226,SJC,North America,San Jose,190 ms
104.18.147.211,SJC,North America,San Jose,190 ms
162.159.143.3,SJC,North America,San Jose,191 ms
104.19.253.239,LAX,North America,Los Angeles,191 ms
104.18.248.227,SJC,North America,San Jose,191 ms
104.18.56.254,SJC,North America,San Jose,192 ms
104.21.99.69,AMS,Europe,Amsterdam,192 ms
104.21.30.210,AMS,Europe,Amsterdam,192 ms
172.65.224.52,SJC,North America,San Jose,192 ms
104.19.60.206,SJC,North America,San Jose,193 ms
104.16.113.20,LAX,North America,Los Angeles,193 ms
104.19.251.235,LAX,North America,Los Angeles,193 ms
104.21.68.53,AMS,Europe,Amsterdam,193 ms
104.16.131.143,SJC,North America,San Jose,193 ms
104.21.227.30,LAX,North America,Los Angeles,193 ms
104.16.119.204,DEN,North America,Denver,194 ms
172.64.40.7,LAX,North America,Los Angeles,194 ms
104.18.19.14,LAX,North America,Los Angeles,194 ms
172.64.34.202,SJC,North America,San Jose,194 ms
104.21.50.16,AMS,Europe,Amsterdam,194 ms
104.19.181.223,SJC,North America,San Jose,194 ms
104.19.128.54,LAX,North America,Los Angeles,194 ms
104.17.145.47,SJC,North America,San Jose,195 ms
104.21.102.55,AMS,Europe,Amsterdam,196 ms
104.17.192.177,SJC,North America,San Jose,196 ms
104.19.92.74,SJC,North America,San Jose,196 ms
162.159.245.55,LAX,North America,Los Angeles,196 ms
104.18.16.206,LAX,North America,Los Angeles,196 ms
104.18.28.190,LAX,North America,Los Angeles,196 ms
104.19.244.239,LAX,North America,Los Angeles,197 ms
104.18.180.219,SJC,North America,San Jose,198 ms
172.67.141.2,AMS,Europe,Amsterdam,198 ms
172.67.199.27,AMS,Europe,Amsterdam,198 ms
104.18.9.108,SJC,North America,San Jose,198 ms
104.27.105.46,IAD,North America,Ashburn,198 ms
104.18.244.84,SJC,North America,San Jose,198 ms
104.21.109.5,AMS,Europe,Amsterdam,199 ms
104.25.131.20,IAD,North America,Ashburn,199 ms
162.159.249.250,LAX,North America,Los Angeles,199 ms
104.17.175.145,SJC,North America,San Jose,199 ms
172.67.221.235,AMS,Europe,Amsterdam,200 ms
104.16.121.49,LAX,North America,Los Angeles,200 ms
104.20.246.223,IAD,North America,Ashburn,200 ms
104.20.63.191,IAD,North America,Ashburn,200 ms
162.159.44.125,LAX,North America,Los Angeles,200 ms
172.67.232.86,AMS,Europe,Amsterdam,200 ms
104.19.100.2,SJC,North America,San Jose,200 ms
104.16.117.130,DEN,North America,Denver,200 ms
172.67.226.195,AMS,Europe,Amsterdam,201 ms
172.67.149.37,AMS,Europe,Amsterdam,201 ms
104.18.26.241,LAX,North America,Los Angeles,201 ms
104.17.188.99,SJC,North America,San Jose,201 ms
104.20.8.57,IAD,North America,Ashburn,202 ms
104.24.154.74,IAD,North America,Ashburn,202 ms
104.18.117.222,LAX,North America,Los Angeles,202 ms
104.21.18.26,AMS,Europe,Amsterdam,202 ms
172.67.206.188,AMS,Europe,Amsterdam,202 ms
104.27.90.195,IAD,North America,Ashburn,202 ms
104.19.50.73,SJC,North America,San Jose,202 ms
104.19.138.80,LAX,North America,Los Angeles,202 ms
104.21.221.217,AMS,Europe,Amsterdam,202 ms
104.17.162.149,SJC,North America,San Jose,202 ms
104.25.85.227,IAD,North America,Ashburn,202 ms
104.21.3.180,AMS,Europe,Amsterdam,202 ms
172.67.173.139,AMS,Europe,Amsterdam,202 ms
104.25.151.35,IAD,North America,Ashburn,203 ms
172.67.234.107,AMS,Europe,Amsterdam,203 ms
104.21.21.168,AMS,Europe,Amsterdam,203 ms
172.67.235.181,AMS,Europe,Amsterdam,203 ms
172.67.163.152,AMS,Europe,Amsterdam,203 ms
104.21.207.135,AMS,Europe,Amsterdam,203 ms
104.25.167.213,IAD,North America,Ashburn,203 ms
104.19.40.119,SJC,North America,San Jose,204 ms
104.19.139.76,LAX,North America,Los Angeles,204 ms
104.20.80.65,IAD,North America,Ashburn,204 ms
104.25.136.124,IAD,North America,Ashburn,204 ms
104.21.11.208,AMS,Europe,Amsterdam,204 ms
104.20.209.43,IAD,North America,Ashburn,204 ms
104.20.95.181,IAD,North America,Ashburn,204 ms
104.17.111.58,SJC,North America,San Jose,204 ms
104.21.4.95,AMS,Europe,Amsterdam,205 ms
104.21.203.137,AMS,Europe,Amsterdam,205 ms
104.20.54.83,IAD,North America,Ashburn,205 ms
104.16.227.143,SJC,North America,San Jose,205 ms
172.67.244.69,AMS,Europe,Amsterdam,205 ms
104.20.231.224,IAD,North America,Ashburn,205 ms
104.17.214.24,SJC,North America,San Jose,205 ms
104.20.188.217,IAD,North America,Ashburn,205 ms
104.27.113.92,IAD,North America,Ashburn,205 ms
172.67.161.94,AMS,Europe,Amsterdam,205 ms
104.21.25.119,AMS,Europe,Amsterdam,205 ms
104.20.191.254,IAD,North America,Ashburn,205 ms
172.67.231.44,AMS,Europe,Amsterdam,206 ms
104.24.82.4,IAD,North America,Ashburn,206 ms
172.67.144.71,AMS,Europe,Amsterdam,206 ms
104.22.23.12,IAD,North America,Ashburn,206 ms
104.21.117.37,AMS,Europe,Amsterdam,206 ms
104.21.17.238,AMS,Europe,Amsterdam,206 ms
172.67.139.160,AMS,Europe,Amsterdam,206 ms
172.67.28.236,IAD,North America,Ashburn,206 ms
172.67.185.218,AMS,Europe,Amsterdam,206 ms
104.27.23.53,IAD,North America,Ashburn,206 ms
172.67.153.222,AMS,Europe,Amsterdam,206 ms
104.25.232.89,IAD,North America,Ashburn,206 ms
104.25.76.233,IAD,North America,Ashburn,206 ms
104.25.96.148,IAD,North America,Ashburn,206 ms
104.20.123.7,IAD,North America,Ashburn,206 ms
104.20.192.84,IAD,North America,Ashburn,206 ms
104.16.124.210,LAX,North America,Los Angeles,206 ms
172.67.204.159,AMS,Europe,Amsterdam,206 ms
172.67.203.142,AMS,Europe,Amsterdam,206 ms
104.25.184.174,IAD,North America,Ashburn,207 ms
104.21.1.44,AMS,Europe,Amsterdam,207 ms
172.67.213.155,AMS,Europe,Amsterdam,207 ms
104.24.130.208,IAD,North America,Ashburn,207 ms
104.20.109.57,IAD,North America,Ashburn,207 ms
104.27.10.73,IAD,North America,Ashburn,207 ms
104.21.201.176,AMS,Europe,Amsterdam,207 ms
172.67.194.92,AMS,Europe,Amsterdam,207 ms
172.67.237.192,AMS,Europe,Amsterdam,207 ms
188.114.97.108,AMS,Europe,Amsterdam,207 ms
172.67.35.196,IAD,North America,Ashburn,207 ms
104.21.113.147,AMS,Europe,Amsterdam,207 ms
104.21.49.90,AMS,Europe,Amsterdam,207 ms
104.21.37.64,AMS,Europe,Amsterdam,207 ms
104.25.8.249,IAD,North America,Ashburn,207 ms
104.25.140.155,IAD,North America,Ashburn,207 ms
104.25.109.232,IAD,North America,Ashburn,207 ms
104.24.238.1,IAD,North America,Ashburn,207 ms
104.20.195.223,IAD,North America,Ashburn,207 ms
172.67.64.131,IAD,North America,Ashburn,208 ms
172.67.219.152,AMS,Europe,Amsterdam,208 ms
104.16.122.1,SJC,North America,San Jose,208 ms
104.25.211.98,IAD,North America,Ashburn,208 ms
104.20.78.183,IAD,North America,Ashburn,208 ms
172.67.236.114,AMS,Europe,Amsterdam,208 ms
104.25.118.146,IAD,North America,Ashburn,208 ms
104.21.52.240,AMS,Europe,Amsterdam,208 ms
172.67.242.147,AMS,Europe,Amsterdam,208 ms
104.24.160.255,IAD,North America,Ashburn,208 ms
104.21.107.209,AMS,Europe,Amsterdam,208 ms
172.67.253.19,AMS,Europe,Amsterdam,208 ms
104.21.110.11,AMS,Europe,Amsterdam,208 ms
104.27.91.107,IAD,North America,Ashburn,208 ms
104.22.69.105,IAD,North America,Ashburn,208 ms
104.22.52.108,IAD,North America,Ashburn,208 ms
172.67.16.233,IAD,North America,Ashburn,208 ms
104.21.76.59,AMS,Europe,Amsterdam,208 ms
104.20.148.118,IAD,North America,Ashburn,208 ms
104.24.177.25,IAD,North America,Ashburn,208 ms
104.21.75.2,AMS,Europe,Amsterdam,208 ms
172.67.175.176,AMS,Europe,Amsterdam,209 ms
104.22.10.55,IAD,North America,Ashburn,209 ms
172.67.47.98,IAD,North America,Ashburn,209 ms
172.67.250.95,AMS,Europe,Amsterdam,209 ms
104.20.133.56,IAD,North America,Ashburn,209 ms
104.21.205.139,AMS,Europe,Amsterdam,209 ms
104.21.200.30,AMS,Europe,Amsterdam,209 ms
104.25.210.69,IAD,North America,Ashburn,209 ms
104.25.231.4,IAD,North America,Ashburn,209 ms
104.25.100.61,IAD,North America,Ashburn,209 ms
172.67.124.52,IAD,North America,Ashburn,209 ms
104.21.51.216,AMS,Europe,Amsterdam,209 ms
172.67.33.228,IAD,North America,Ashburn,209 ms
172.67.200.31,AMS,Europe,Amsterdam,209 ms
172.67.243.253,AMS,Europe,Amsterdam,209 ms
172.67.241.14,AMS,Europe,Amsterdam,209 ms
104.21.213.124,AMS,Europe,Amsterdam,209 ms
104.24.152.207,IAD,North America,Ashburn,209 ms
104.25.105.21,IAD,North America,Ashburn,209 ms
104.21.22.199,AMS,Europe,Amsterdam,209 ms
104.20.193.68,IAD,North America,Ashburn,209 ms
104.22.14.196,IAD,North America,Ashburn,209 ms
104.23.128.88,IAD,North America,Ashburn,209 ms
104.25.188.177,IAD,North America,Ashburn,209 ms
104.24.181.249,IAD,North America,Ashburn,209 ms
104.18.116.140,LAX,North America,Los Angeles,209 ms
104.21.60.15,AMS,Europe,Amsterdam,209 ms
172.65.171.230,IAD,North America,Ashburn,209 ms
172.67.222.160,AMS,Europe,Amsterdam,209 ms
104.25.122.51,IAD,North America,Ashburn,210 ms
104.21.65.35,AMS,Europe,Amsterdam,210 ms
104.25.200.216,IAD,North America,Ashburn,210 ms
104.22.41.1,IAD,North America,Ashburn,210 ms
104.24.73.16,IAD,North America,Ashburn,210 ms
104.24.74.60,IAD,North America,Ashburn,210 ms
104.25.215.33,IAD,North America,Ashburn,210 ms
104.20.51.187,IAD,North America,Ashburn,210 ms
104.17.28.191,SJC,North America,San Jose,210 ms
104.27.19.209,IAD,North America,Ashburn,210 ms
104.21.35.77,AMS,Europe,Amsterdam,210 ms
104.21.81.249,AMS,Europe,Amsterdam,210 ms
104.24.55.20,IAD,North America,Ashburn,210 ms
104.21.204.60,AMS,Europe,Amsterdam,210 ms
104.21.194.59,AMS,Europe,Amsterdam,210 ms
104.27.46.75,IAD,North America,Ashburn,210 ms
104.23.142.33,IAD,North America,Ashburn,210 ms
104.27.16.99,IAD,North America,Ashburn,210 ms
104.24.190.29,IAD,North America,Ashburn,210 ms
104.22.33.211,IAD,North America,Ashburn,210 ms
172.67.31.49,IAD,North America,Ashburn,210 ms
104.20.18.60,IAD,North America,Ashburn,211 ms
104.25.174.117,IAD,North America,Ashburn,211 ms
172.67.212.109,AMS,Europe,Amsterdam,211 ms
104.27.110.25,IAD,North America,Ashburn,211 ms
104.25.97.22,IAD,North America,Ashburn,211 ms
104.24.56.183,IAD,North America,Ashburn,211 ms
104.27.108.25,IAD,North America,Ashburn,211 ms
104.20.165.124,IAD,North America,Ashburn,211 ms
104.24.228.16,IAD,North America,Ashburn,211 ms
104.27.70.219,IAD,North America,Ashburn,211 ms
104.27.2.88,IAD,North America,Ashburn,211 ms
104.25.234.9,IAD,North America,Ashburn,211 ms
104.24.151.121,IAD,North America,Ashburn,211 ms
104.27.40.254,IAD,North America,Ashburn,211 ms
104.27.42.73,IAD,North America,Ashburn,211 ms
104.20.111.61,IAD,North America,Ashburn,211 ms
104.25.141.227,IAD,North America,Ashburn,211 ms
104.26.6.152,IAD,North America,Ashburn,211 ms
104.25.243.103,IAD,North America,Ashburn,211 ms
104.21.56.158,AMS,Europe,Amsterdam,211 ms
104.24.205.140,IAD,North America,Ashburn,211 ms
104.20.167.159,IAD,North America,Ashburn,211 ms
104.25.191.214,IAD,North America,Ashburn,211 ms
104.21.16.66,AMS,Europe,Amsterdam,211 ms
104.25.152.24,IAD,North America,Ashburn,211 ms
104.20.31.234,IAD,North America,Ashburn,211 ms
104.21.202.227,AMS,Europe,Amsterdam,211 ms
104.21.0.13,AMS,Europe,Amsterdam,211 ms
104.27.52.7,IAD,North America,Ashburn,211 ms
172.67.249.236,AMS,Europe,Amsterdam,211 ms
104.20.61.224,IAD,North America,Ashburn,211 ms
104.25.22.156,IAD,North America,Ashburn,212 ms
104.24.8.206,IAD,North America,Ashburn,212 ms
104.24.7.146,IAD,North America,Ashburn,212 ms
172.65.20.15,AMS,Europe,Amsterdam,212 ms
104.25.98.255,IAD,North America,Ashburn,212 ms
104.25.60.123,IAD,North America,Ashburn,212 ms
172.67.72.194,IAD,North America,Ashburn,212 ms
172.67.63.103,IAD,North America,Ashburn,212 ms
172.67.188.236,AMS,Europe,Amsterdam,212 ms
104.24.167.21,IAD,North America,Ashburn,212 ms
172.67.57.178,IAD,North America,Ashburn,212 ms
104.25.90.111,IAD,North America,Ashburn,212 ms
104.25.245.193,IAD,North America,Ashburn,212 ms
104.25.254.87,IAD,North America,Ashburn,212 ms
104.25.246.65,IAD,North America,Ashburn,212 ms
162.159.45.101,LAX,North America,Los Angeles,212 ms
104.21.67.238,AMS,Europe,Amsterdam,212 ms
104.24.30.67,IAD,North America,Ashburn,212 ms
104.20.142.169,IAD,North America,Ashburn,212 ms
104.25.115.3,IAD,North America,Ashburn,212 ms
104.24.208.152,IAD,North America,Ashburn,212 ms
104.27.0.40,IAD,North America,Ashburn,212 ms
104.22.1.9,IAD,North America,Ashburn,212 ms
104.20.19.133,IAD,North America,Ashburn,212 ms
172.67.118.106,IAD,North America,Ashburn,212 ms
104.23.143.230,IAD,North America,Ashburn,212 ms
104.25.230.142,IAD,North America,Ashburn,212 ms
104.21.38.111,AMS,Europe,Amsterdam,212 ms
104.24.221.7,IAD,North America,Ashburn,212 ms
104.21.47.180,AMS,Europe,Amsterdam,213 ms
104.20.14.149,IAD,North America,Ashburn,213 ms
104.21.209.127,AMS,Europe,Amsterdam,213 ms
104.27.45.199,IAD,North America,Ashburn,213 ms
104.27.36.82,IAD,North America,Ashburn,213 ms
104.24.248.205,IAD,North America,Ashburn,213 ms
104.20.226.11,IAD,North America,Ashburn,213 ms
104.20.135.45,IAD,North America,Ashburn,213 ms
104.20.92.203,IAD,North America,Ashburn,213 ms
104.24.244.74,IAD,North America,Ashburn,213 ms
104.20.254.236,IAD,North America,Ashburn,213 ms
104.21.82.136,AMS,Europe,Amsterdam,213 ms
104.25.36.57,IAD,North America,Ashburn,213 ms
104.24.179.236,IAD,North America,Ashburn,213 ms
104.20.216.168,IAD,North America,Ashburn,213 ms
104.27.26.137,IAD,North America,Ashburn,213 ms
104.27.13.166,IAD,North America,Ashburn,213 ms
104.27.68.9,IAD,North America,Ashburn,213 ms
104.25.4.106,IAD,North America,Ashburn,213 ms
104.27.28.94,IAD,North America,Ashburn,213 ms
104.24.222.209,IAD,North America,Ashburn,213 ms
104.20.126.210,IAD,North America,Ashburn,213 ms
104.22.59.200,IAD,North America,Ashburn,213 ms
104.27.79.71,IAD,North America,Ashburn,213 ms
172.67.248.61,AMS,Europe,Amsterdam,213 ms
172.67.168.37,AMS,Europe,Amsterdam,213 ms
172.67.157.252,AMS,Europe,Amsterdam,213 ms
104.27.3.73,IAD,North America,Ashburn,213 ms
